think_time,sync_duration,async_duration
0,9.672550439834595,7.298968076705933
2,10.102082252502441,6.946478843688965
4,10.126145601272583,7.516455411911011
8,10.688166379928589,7.704532861709595
16,11.8523530960083,7.975389719009399
32,13.128666162490845,7.224928617477417
64,16.521483898162842,7.3721394538879395
128,22.70508575439453,13.161680459976196
0,9.802366256713867,7.312146902084351
2,10.223170518875122,7.458603382110596
4,10.325350999832153,7.202507257461548
8,10.868610143661499,7.511448860168457
16,12.317091464996338,7.829293727874756
32,13.435404777526855,7.396684169769287
64,16.285909175872803,7.416210889816284
128,22.941571950912476,12.8966703414917
0,9.93398118019104,7.4729905128479
2,10.54829478263855,7.476114273071289
4,10.546512365341187,7.303959131240845
8,10.794899225234985,7.0357770919799805
16,12.422815561294556,7.567875623703003
32,13.359419584274292,7.3344175815582275
64,16.673526763916016,7.62569260597229
128,22.995378732681274,13.143816709518433
0,9.860897541046143,6.9733359813690186
1,10.032857418060303,7.932300567626953
2,10.239996671676636,7.387295722961426
3,11.390952587127686,8.034658193588257
4,10.302569150924683,7.223309516906738
5,10.933074712753296,7.834537982940674
6,10.660217761993408,7.76925253868103
7,10.979722023010254,7.542370080947876
8,11.252418756484985,7.015974760055542
9,10.854867458343506,7.105840682983398
10,11.372023820877075,7.362181901931763
11,11.29962682723999,7.5447142124176025
12,11.455978870391846,7.153965950012207
13,11.554704666137695,7.821639776229858
14,11.9484543800354,7.660526275634766
15,11.328455924987793,7.254260301589966
16,11.50518536567688,7.423497438430786
24,12.49280858039856,7.137252330780029
32,13.441851377487183,7.450840711593628
40,14.185120820999146,7.399349927902222
48,14.775061130523682,7.277061462402344
56,15.648215055465698,7.515043020248413
64,16.589362382888794,7.334258556365967
72,17.149658679962158,7.639783620834351
80,18.250744581222534,8.2925386428833
88,18.94366145133972,9.149868726730347
96,19.82486367225647,9.990214586257935
104,20.424021244049072,10.885789394378662
112,20.846009254455566,11.335510492324829
120,22.126233100891113,12.409690141677856
128,23.04944610595703,13.318371057510376
0,10.660945415496826,8.13626742362976
1,11.097213983535767,8.123816013336182
0,10.426658391952515,7.156431436538696
1,10.19313907623291,7.347018241882324
2,9.885632038116455,6.926051616668701
3,10.551512956619263,7.226895570755005
4,10.422160148620605,7.168527603149414
5,10.392980098724365,7.189248323440552
6,10.358430862426758,7.431145429611206
7,11.087557315826416,7.489607095718384
8,11.432248592376709,7.933016061782837
9,10.824325799942017,7.176910638809204
10,10.870454549789429,7.289243936538696
11,10.712793111801147,7.157112121582031
12,11.447232007980347,7.186787128448486
13,11.651699304580688,7.189901113510132
14,11.411452531814575,7.600348711013794
15,11.414812088012695,6.918533086776733
16,11.611952304840088,7.397904872894287
24,12.394274950027466,7.6124560832977295
32,12.82860279083252,7.161532878875732
40,13.694630146026611,7.2047648429870605
48,14.651229619979858,7.243824243545532
56,15.86505651473999,7.711686134338379
64,16.27722430229187,7.255495548248291
72,17.076332807540894,7.644692420959473
80,17.856789112091064,8.13055419921875
88,19.20577883720398,8.991996765136719
96,19.344871282577515,9.846323251724243
104,20.606690168380737,10.694152593612671
112,21.551353454589844,11.280095100402832
120,21.75485897064209,12.095277786254883
128,22.67702054977417,12.907143592834473
0,11.48590874671936,7.97364616394043
1,9.732110023498535,7.409698247909546
2,10.625497341156006,7.691094398498535
3,9.829668283462524,7.218791484832764
4,10.210041284561157,7.277520656585693
5,10.721665859222412,7.760321140289307
6,11.03358769416809,7.679885625839233
7,10.68402624130249,7.17502760887146
8,10.992676973342896,7.12392520904541
9,10.569043636322021,7.341542720794678
10,10.568695783615112,7.362526893615723
11,10.602912902832031,7.280673265457153
12,10.984384059906006,7.330837249755859
13,10.653233766555786,7.74544882774353
14,11.224177122116089,7.599451780319214
15,11.168376207351685,7.235730409622192
16,11.241060733795166,6.954557657241821
24,12.06606149673462,7.25696587562561
32,12.84421968460083,7.152855634689331
40,13.38684344291687,7.2159905433654785
48,14.323650598526001,6.76646089553833
56,15.61845064163208,6.895649194717407
64,16.370819807052612,7.777556657791138
72,17.1039776802063,7.641205072402954
80,17.78126287460327,8.167986154556274
88,18.743910789489746,9.0264732837677
96,19.503019094467163,9.886979341506958
104,20.338365077972412,10.714548349380493
112,21.273853540420532,11.490191459655762
120,22.137280464172363,12.366799592971802
128,22.80728006362915,13.174394130706787
0,9.94040298461914,7.3744120597839355
1,10.142087936401367,7.463982105255127
2,9.981705665588379,6.934741735458374
3,10.181861400604248,7.249483108520508
4,10.359269618988037,7.387508153915405
5,10.34174919128418,6.81450343132019
6,10.225204944610596,7.200719833374023
7,10.486444234848022,7.656843662261963
8,11.016792297363281,6.897998332977295
9,10.746320486068726,7.568445444107056
10,10.9342360496521,7.245093584060669
11,10.996607780456543,7.551607608795166
12,11.001413106918335,7.372650384902954
13,11.255697965621948,7.436467170715332
14,11.079555034637451,7.348422050476074
15,11.353538036346436,7.486496925354004
16,11.263542413711548,7.174031972885132
24,12.443822860717773,7.313294172286987
32,13.076119899749756,7.495768785476685
40,13.937382936477661,7.22371768951416
48,14.514215230941772,6.912661075592041
56,15.485016584396362,7.532170057296753
64,16.664484977722168,7.387285947799683
72,16.9695827960968,7.648667335510254
80,17.952988862991333,8.17663049697876
88,18.9954354763031,8.961924314498901
96,19.269198179244995,9.819660663604736
104,20.29376721382141,10.79048776626587
112,21.253786087036133,11.749264240264893
120,22.272602081298828,12.29457712173462
128,22.782304763793945,13.19083571434021
0,10.29656171798706,7.689016103744507
1,10.284608125686646,7.030291557312012
2,10.254585981369019,7.091167449951172
3,10.416003227233887,7.4547224044799805
4,10.361326694488525,7.356762647628784
5,10.57374906539917,7.304047584533691
6,10.625173091888428,7.4806227684021
7,10.433524131774902,7.166056871414185
8,10.719895124435425,7.543351650238037
9,10.776341676712036,7.5410895347595215
10,11.137663125991821,7.158956527709961
11,11.375928163528442,6.898881912231445
12,10.852361679077148,7.202146053314209
13,10.900341272354126,7.566701412200928
14,11.063453912734985,7.137474536895752
15,11.607240200042725,7.473992109298706
16,11.522871732711792,7.213330030441284
24,12.575473308563232,7.884748220443726
32,13.144095659255981,7.493484973907471
40,13.76386022567749,7.544142484664917
48,14.748966932296753,7.080679655075073
56,15.502469778060913,6.9477622509002686
64,15.985893487930298,7.265302896499634
72,17.095985651016235,7.63346529006958
80,18.141270875930786,8.222878694534302
88,18.71504235267639,8.97557806968689
96,19.70640754699707,9.747932195663452
104,20.238220691680908,10.587970733642578
112,20.946364164352417,11.541223526000977
120,21.651435375213623,12.31531810760498
128,22.892489671707153,13.135804653167725
0,10.147294044494629,7.0337231159210205
1,10.017338037490845,7.2335803508758545
2,10.211095333099365,7.407608509063721
3,10.828070640563965,7.346200704574585
4,10.178992509841919,7.318707466125488
5,10.329323768615723,7.522108793258667
6,10.24908709526062,7.086580276489258
7,10.83134937286377,7.1179893016815186
8,10.408475399017334,7.222798109054565
9,10.701751947402954,7.312919616699219
10,10.735437870025635,7.141437292098999
11,11.038131475448608,7.408351182937622
12,10.9856436252594,7.632627487182617
13,11.348874807357788,7.582782030105591
14,11.366817474365234,7.205083847045898
15,11.285013914108276,6.870278596878052
16,11.18812084197998,7.254749298095703
24,12.28394341468811,7.381158351898193
32,12.778655290603638,7.109256982803345
40,14.117818593978882,7.327793121337891
48,14.681601285934448,7.4591968059539795
56,15.618919372558594,7.216719627380371
64,16.40814518928528,7.160104990005493
72,17.013416290283203,7.715094804763794
80,17.695778369903564,8.197924137115479
88,18.780526876449585,8.985788583755493
96,19.4626362323761,9.806618928909302
104,20.144057512283325,10.66578221321106
112,21.089564561843872,11.509249687194824
120,21.91067123413086,12.325897932052612
128,22.219860553741455,13.137645959854126
0,9.887388229370117,7.429067373275757
1,9.851740598678589,7.304807186126709
2,10.023855447769165,7.436368465423584
3,10.085384607315063,7.2526445388793945
4,10.194220304489136,7.124932765960693
5,10.50741195678711,7.084137916564941
6,10.324942588806152,7.450841903686523
7,10.45425271987915,6.998447895050049
8,10.755427360534668,7.293708562850952
9,10.543540716171265,7.2098798751831055
10,10.639337539672852,6.879777193069458
11,10.673925638198853,7.244638204574585
12,11.126450061798096,7.559755563735962
13,11.054431676864624,7.611012697219849
14,11.432111024856567,7.191363573074341
15,11.350770950317383,7.340778589248657
16,11.325026035308838,7.4040892124176025
24,11.907383441925049,7.076563596725464
32,13.062199115753174,7.0488505363464355
40,13.762590408325195,6.934478759765625
48,14.263654947280884,7.4576568603515625
56,15.242130756378174,6.93096399307251
64,16.343536853790283,7.14909815788269
72,17.065362691879272,7.647019863128662
80,17.35119342803955,8.20032262802124
88,18.41694736480713,9.018075704574585
96,19.408918380737305,9.897120475769043
104,20.342305183410645,10.66319227218628
112,21.30916428565979,11.58943486213684
120,21.728379011154175,12.314086437225342
128,22.581111192703247,13.098545551300049
0,9.63157844543457,7.256529808044434
1,9.881239175796509,7.283240079879761
2,9.850770473480225,7.353980541229248
3,9.97354006767273,6.9701220989227295
4,9.881699562072754,7.317971706390381
5,9.936999320983887,7.176902532577515
6,10.347299098968506,7.559600591659546
7,10.382441282272339,6.911360502243042
8,10.912309885025024,7.375295639038086
9,10.438034057617188,7.239505767822266
10,10.88728141784668,7.366018533706665
11,10.879387140274048,7.282307147979736
12,10.689979314804077,6.7457544803619385
13,11.04081416130066,7.3365960121154785
14,11.43137001991272,7.29172945022583
15,11.287495613098145,7.206064939498901
16,11.30219292640686,6.8003294467926025
24,12.327467679977417,7.018433094024658
32,13.192660331726074,7.31482720375061
40,13.824960470199585,7.103950500488281
48,14.404013872146606,7.3257222175598145
56,15.402695655822754,7.30735445022583
64,15.981254577636719,7.480593681335449
72,16.922813177108765,7.647206783294678
80,17.670677185058594,8.263837337493896
88,18.356191873550415,9.0444974899292
96,19.745903968811035,9.866869449615479
104,20.61258602142334,10.67123293876648
112,20.980064630508423,11.493968963623047
120,21.824762105941772,12.282011270523071
128,22.850433826446533,13.15400242805481
0,9.775336980819702,6.968384027481079
